Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
158,0,6.7105,6.33747,-70.5708,6972.96,262.924,469.666,-495.274,-98.8082,0
159,0,6.8588,6.08902,-70.5679,6887.78,255.338,400.546,-495.381,-97.6049,0
160,0,6.76434,6.02361,-70.4228,6850.53,289.406,428.746,-494.89,-97.2772,0
161,0,6.77555,6.0247,-70.3457,6856.55,283.862,461.722,-494.966,-97.4711,0
162,0,7.11647,6.25863,-70.245,6955.89,221.178,419.742,-495.851,-99.0239,0
163,0,7.03597,6.18072,-70.4279,6962.67,223.293,422.262,-495.829,-98.8635,0
164,0,6.92377,6.25998,-70.2458,6983.6,225.947,487.816,-495.784,-99.4178,0
165,0,6.79856,5.93558,-70.4121,6909.79,248.087,454.487,-495.475,-98.1319,0
166,0,6.77768,5.89489,-70.2711,6848.2,274.561,456.397,-495.09,-97.4509,0
167,0,6.88778,6.14796,-70.6462,6956.25,214.021,478.341,-495.969,-98.4648,0
168,0,6.71123,5.96686,-70.4191,6858.63,286.07,496.041,-494.938,-97.3974,0
169,0,6.73183,6.17343,-70.4346,6892.68,276.022,504.765,-495.081,-97.8592,0
170,0,7.0705,6.24385,-70.4586,6950.27,245.241,571.59,-495.519,-98.6437,0
171,0,7.06614,6.12319,-70.4945,6856.27,254.285,598.442,-495.393,-97.2594,0
172,0,7.12107,6.13929,-70.4229,6826.89,244.024,608.284,-495.535,-96.9413,0
173,0,7.22704,6.08398,-70.4208,6922.07,255.059,578.258,-495.378,-98.2958,0
174,0,7.13383,5.94487,-70.3862,6886.67,248.119,572.503,-495.475,-97.8411,0
175,0,7.23905,6.11586,-70.3482,6883.05,222.939,569.959,-495.831,-97.8427,0
176,0,7.25854,5.90188,-70.4303,6865.94,254.882,544.015,-495.381,-97.486,0
177,0,7.07918,5.84784,-70.3769,6830.69,290.139,536.434,-494.879,-97.0619,0
178,0,7.18281,5.96324,-70.1246,6955.6,224.449,501.5,-495.799,-99.188,0
179,0,7.24535,6.0715,-70.5207,6992.44,241.116,518.733,-495.581,-99.1575,0
180,0,7.11662,5.85721,-70.6922,6870.6,258.009,555.385,-495.35,-97.192,0
181,0,7.10318,5.99171,-70.3409,6896.67,258.158,596.023,-495.33,-98.0451,0
182,0,7.1077,5.89243,-70.1135,6846.4,248.745,589.356,-495.452,-97.6472,0
183,0,7.08862,6.10432,-70.2057,6973.33,235.968,534.432,-495.639,-99.3281,0
184,0,7.08812,5.98448,-70.3653,6947.07,267.463,506.502,-495.199,-98.7292,0
185,0,7.06727,6.17769,-70.2141,6975.27,240.681,453.431,-495.572,-99.3421,0
186,0,7.00725,5.99746,-70.0762,6903.88,246.903,488.609,-495.477,-98.5205,0
187,0,6.98759,6.11147,-70.0171,6974.18,265.514,508.145,-495.208,-99.6077,0
188,0,6.97224,6.0361,-70.2016,6926.78,284.178,476.343,-494.952,-98.6698,0
189,0,7.0777,6.07569,-70.2565,6937.14,285.826,489.651,-494.931,-98.7393,0
190,0,7.21525,6.22887,-70.6249,6989.3,241.349,457.575,-495.583,-98.9636,0
191,0,7.06851,6.09782,-70.5904,6937.1,213.663,472.9,-495.973,-98.2728,0
192,0,7.23428,6.12338,-70.5214,6959.33,241.296,500.54,-495.578,-98.6839,0
193,0,7.26001,5.98253,-70.435,6940.35,268.25,464.65,-495.191,-98.5338,0
194,0,7.02101,5.79765,-70.2559,6833.75,305.667,435.279,-494.649,-97.2689,0
195,0,6.99707,6.04379,-70.5223,6922.25,288.264,419.201,-494.913,-98.1558,0
196,0,7.10824,6.11575,-70.7657,6958.18,298.767,434.993,-494.778,-98.3258,0
197,0,6.92016,6.04908,-70.5883,6828.23,276.548,462.805,-495.082,-96.7332,0
198,0,6.9478,5.99846,-70.49,6881.04,298.109,421.919,-494.771,-97.6177,0
199,0,6.96326,6.37123,-70.4482,6995.53,252.405,441.825,-495.417,-99.3004,0
200,0,7.06521,6.36234,-70.4443,6959.59,258.489,475.503,-495.331,-98.7956,0
201,0,7.21329,6.30857,-70.5109,6969.27,214.471,464.585,-495.959,-98.8416,0
202,0,7.22893,6.13505,-70.6136,6851.64,250.329,461.107,-495.455,-97.0311,0
203,0,7.22395,6.13743,-70.3491,6911.01,236.847,460.952,-495.633,-98.2381,0
204,0,7.13663,6.42608,-70.4989,7023.97,229.565,471,-495.743,-99.6322,0
205,0,6.92963,6.48218,-70.6761,7030.57,239.843,484.563,-495.607,-99.4763,0
206,0,6.99073,6.27437,-70.7056,6924.09,310.492,448.611,-494.609,-97.9278,0
207,0,7.00458,6.19011,-70.5726,6864.35,242.231,469.135,-495.568,-97.2677,0
208,0,7.08164,6.22048,-70.4327,6981.64,240.332,473.618,-495.588,-99.1251,0
209,0,7.11632,6.33366,-70.4919,6993.66,248.623,490.736,-495.473,-99.213,0
210,0,6.94827,6.43871,-70.6703,6975.83,270.663,550.462,-495.17,-98.709,0
211,0,7.0455,6.54789,-70.8023,7054.2,236.428,493.316,-495.661,-99.6329,0
212,0,6.76405,6.35366,-70.9069,6954.73,234.555,516.453,-495.692,-98.082,0
213,0,6.73433,6.19545,-70.7984,6842.8,253.552,400.111,-495.419,-96.6522,0
214,0,6.78774,6.0792,-70.6921,6874.67,279.774,379.301,-495.042,-97.248,0
215,0,6.80449,6.32623,-70.6881,6905.92,301.487,393.851,-494.734,-97.6947,0
216,0,6.97947,6.48374,-70.8418,7007.84,224.296,436.721,-495.834,-98.9223,0
217,0,6.84104,6.58869,-70.8259,6980.67,182.417,428.837,-496.424,-98.561,0
218,0,6.71178,6.59618,-70.7321,6990.96,217.378,477.097,-495.927,-98.8375,0
219,0,6.9494,6.35977,-70.6643,7017.38,234.529,458.761,-495.681,-99.3064,0
220,0,6.86843,6.13645,-70.697,6902.87,259.3,446.735,-495.332,-97.6401,0
221,0,6.93685,6.16473,-70.6477,6895.05,248.57,432.835,-495.482,-97.5971,0
222,0,7.11026,6.21604,-70.7966,6993.92,253.322,450.039,-495.422,-98.7892,0
223,0,7.00692,6.01912,-70.8787,6969.48,251.654,499.737,-495.449,-98.3282,0
224,0,6.82587,5.86741,-70.4822,6904.09,278.781,458.092,-495.045,-97.9556,0
225,0,6.90392,5.85189,-70.5314,6992.53,244.948,448.279,-495.526,-99.1418,0
226,0,6.79008,6.01942,-70.6847,6971.45,202.346,511.835,-496.136,-98.6286,0
227,0,6.75258,6.08855,-70.2379,6952.67,244.082,538.789,-495.527,-98.9874,0
228,0,6.58643,6.09734,-70.8212,6961.18,284.583,569.037,-494.982,-98.292,0
229,0,6.74514,5.99834,-70.7348,6881.73,262.477,631.21,-495.289,-97.2918,0
230,0,6.74985,6.18413,-70.6591,7049.02,257.818,588.713,-495.352,-99.7628,0
231,0,6.80373,6.12347,-70.9379,6965.27,260.873,554.571,-495.324,-98.1867,0
232,0,6.84365,6.07506,-70.591,6883.97,205.48,568.21,-496.088,-97.5228,0
