currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
3887,761.46,766.7,757.73,759.17,761.27,-57.62,-926.27,418.95,0.48,-0.45,-1.23,778,0,6.16669,7.09203,-71.7313,7114.66,55.4732,468.103,-498.227,-99.1866,0,72
3918,761.48,766.77,757.75,759.13,761.28,-71.78,-914.06,429.69,-2.18,-0.36,-2.4,785,0,5.89302,6.83971,-70.8774,6934.7,79.5958,434.705,-497.877,-97.8407,0,72
3949,761.4,766.75,757.79,759.12,761.27,-69.34,-927.25,429.2,-1.08,-0.46,-0.56,791,0,6.33187,6.63551,-71.0491,6924.11,116.75,541.658,-497.356,-97.455,0,72
3980,761.33,766.8,757.76,759.13,761.25,-81.05,-925.78,430.18,-1.58,1.11,0.02,797,0,6.2318,6.69448,-71.0382,6958.55,126.055,366.037,-497.226,-97.9544,0,72
4011,761.37,766.8,757.77,759.07,761.25,-75.2,-925.29,423.83,-1.72,0.73,0.89,803,0,6.04576,6.62687,-70.2783,6834.81,156.207,383.66,-496.777,-97.2534,0,72
4042,761.39,766.84,757.81,759.13,761.29,-82.03,-933.11,426.76,-1.37,-0.25,-1.85,809,0,6.30879,6.58245,-69.6718,6878.89,128.247,286.019,-497.159,-98.7327,0,72
4073,761.34,766.75,757.77,759.1,761.24,-72.27,-919.92,417.48,-0.99,-1.23,-1.18,816,0,6.25579,5.69774,-69.6804,6808.42,166.191,313.135,-496.615,-97.7104,0,72
4104,761.36,766.8,757.81,759.08,761.26,-76.66,-919.43,416.99,-0.37,-0.83,1.05,822,0,6.40002,5.93394,-69.55,6943.3,224.023,415.771,-495.779,-99.8318,0,72
4135,761.51,766.86,757.77,759.11,761.31,-74.22,-925.29,421.87,-0.07,-0.69,-0.68,828,0,6.1536,5.84762,-69.2546,6903.28,219.414,241.894,-495.832,-99.6797,0,72
4166,761.6,766.81,757.79,759.12,761.33,-69.34,-926.76,418.95,0.24,3.31,1.79,834,0,6.41434,5.36061,-69.9147,6964.34,214.043,252.826,-495.939,-99.6112,0,72
4197,761.68,766.87,757.74,759.22,761.38,-74.22,-924.8,415.04,-0.87,1.39,-1.57,840,0,6.57499,5.68188,-71.2757,7196.48,217.269,263.864,-495.952,-100.967,0,72
4228,761.88,766.87,757.79,759.19,761.43,-74.22,-921.39,426.27,0.75,1.17,-2.06,847,0,6.85963,5.2767,-72.8153,7283.08,251.154,397.502,-495.551,-100.024,0,72
4259,761.89,766.9,757.8,759.22,761.45,-77.15,-933.59,423.83,-2.08,2.16,-2.53,853,0,6.80655,5.6039,-74.4832,7259.8,248.846,336.998,-495.659,-97.4685,0,72
4290,761.97,766.97,757.83,759.24,761.5,-68.36,-922.85,423.34,-0.22,-1.14,1.21,859,0,7.24225,5.63656,-76.3768,7333.97,242.459,350.068,-495.827,-96.0232,0,72
