Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
64,0,0.185007,-0.529968,38.8803,-89.8212,-7.63529,34.0734,0.196183,-2.31088,0,0,0,0,0,0,0,-515,0,0
65,0,0.0854689,-0.385743,37.2894,-45.3732,13.5667,22.9302,-0.370902,-1.19312,0,0,0,0,0,0,0,-515,0,0
66,0,-0.0107594,-0.55427,35.7789,-17.3125,-2.3283,-7.0962,0.0709667,-0.482453,0,0,0,0,0,0,0,-515,0,0
67,0,0.037666,-0.527526,36.2904,-63.9286,38.7469,-29.806,-1.05579,-1.74996,0,0,0,0,0,0,0,-515,0,0
68,0,0.00996743,-0.271404,36.3959,-60.9255,17.1574,67.1563,-0.469026,-1.67272,0,0,0,0,0,0,0,-515,0,0
69,0,-0.0117589,-0.177627,37.8759,-79.5209,1.44248,72.849,-0.0384579,-2.08986,0,0,0,0,0,0,0,-515,0,0
70,0,0.0890215,-0.340546,38.4599,-70.5097,-27.4643,9.18003,0.714083,-1.83334,0,0,0,0,0,0,0,-515,0,0
71,0,0.0446109,-0.554041,38.8109,-55.5473,-20.661,53.8391,0.533889,-1.43196,0,0,0,0,0,0,0,-515,0,0
72,0,0.0463641,-0.550796,40.4335,-64.7967,-3.31483,102.139,0.0858036,-1.59913,0,0,0,0,0,0,0,-515,0,0
73,0,0.00560959,-0.618259,39.3547,-57.9349,17.5548,66.8228,-0.452817,-1.46866,0,0,0,0,0,0,0,-515,0,0
74,0,0.12013,-0.618062,37.8295,-65.7884,5.92708,125.844,-0.152504,-1.7423,0,0,0,0,0,0,0,-515,0,0
75,0,-0.0780834,-0.582941,38.7528,-16.8402,7.19677,82.5481,-0.183234,-0.451887,0,0,0,0,0,0,0,-515,0,0
76,0,0.151077,-0.439759,38.9587,31.1104,-42.252,7.86132,1.08797,0.800386,0,0,0,0,0,0,0,-515,0,0
77,0,0.241714,-0.308539,38.7883,-45.3593,-21.6399,-18.0674,0.55719,-1.17094,0,0,0,0,0,0,0,-515,0,0
78,0,0.369315,-0.193338,39.3376,-50.695,-52.4988,31.0213,1.32824,-1.29263,0,0,0,0,0,0,0,-515,0,0
79,0,0.346842,-0.177132,37.0663,-25.6417,-25.7622,5.80941,0.667619,-0.683198,0,0,0,0,0,0,0,-515,0,0
80,0,0.184166,-0.164611,36.91,-57.4645,8.14298,65.1872,-0.216888,-1.54909,0,0,0,0,0,0,0,-515,0,0
81,0,0.506559,-0.147921,37.0784,-22.7533,1.44655,89.6153,-0.0385788,-0.612057,0,0,0,0,0,0,0,-515,0,0
82,0,0.269325,-0.32474,37.0815,-72.096,24.8052,-3.66094,-0.668565,-1.94337,0,0,0,0,0,0,0,-515,0,0
83,0,0.294409,-0.254582,37.3227,-81.2166,1.54905,-10.022,-0.0435435,-2.17707,0,0,0,0,0,0,0,-515,0,0
84,0,0.393371,-0.343304,38.1848,-93.962,-38.0446,-43.1795,0.99103,-2.45729,0,0,0,0,0,0,0,-515,0,0
85,0,0.336276,-0.285927,37.2705,-56.9361,7.03537,-111.759,-0.206446,-1.51416,0,0,0,0,0,0,0,-515,0,0
86,0,0.332988,-0.178958,40.007,-2.19412,-28.4095,-86.4945,0.667643,-0.0851144,0,0,0,0,0,0,0,-515,0,0
87,0,0.431511,-0.328818,39.1525,-31.8292,-10.1567,-86.2472,0.240544,-0.835166,0,0,0,0,0,0,0,-515,0,0
88,0,0.295055,-0.287428,38.0221,-4.18885,-56.5525,-40.7471,1.4931,-0.106061,0,0,0,0,0,0,0,-515,0,0
89,0,0.318162,-0.296112,36.3321,-91.7187,-15.0219,26.0416,0.385927,-2.57104,0,0,0,0,0,0,0,-515,0,0
90,0,0.465284,-0.43751,35.8957,-110.622,6.24416,-63.7647,-0.174082,-3.08264,0,0,0,0,0,0,0,-515,0,0
91,0,0.561864,-0.431194,37.439,-89.935,-24.54,-75.8224,0.643723,-2.40899,0,0,0,0,0,0,0,-515,0,0
92,0,0.450851,-0.443758,36.4366,-58.1018,-16.6906,-121.451,0.450195,-1.58408,0,0,0,0,0,0,0,-515,0,0
93,0,0.29733,-0.555166,36.3364,-89.5669,21.3635,-98.6179,-0.583652,-2.45929,0,0,0,0,0,0,0,-515,0,0
94,0,0.263809,-0.548151,37.0162,-91.211,18.8608,-125.753,-0.511508,-2.46617,0,0,0,0,0,0,0,-515,0,0
95,0,0.0988463,-0.587468,36.7703,-86.1613,-19.5655,-94.5102,0.536088,-2.34337,0,0,0,0,0,0,0,-515,0,0
96,0,0.0788452,-0.401224,38.8746,-55.3043,3.12435,-24.0773,-0.0598363,-1.44269,0,0,0,0,0,0,0,-515,0,0
97,0,0.231351,-0.452569,39.1682,-49.0114,-13.4692,-64.2311,0.347979,-1.25213,0,0,0,0,0,0,0,-515,0,0
98,0,0.306754,-0.618758,38.1798,-67.6652,-37.315,-126.878,0.980003,-1.77586,0,0,0,0,0,0,0,-515,0,0
99,0,0.321971,-0.581213,37.3932,-83.5148,-56.0685,-90.363,1.50138,-2.23483,0,0,0,0,0,0,0,-515,0,0
100,0,0.316064,-0.439229,36.5703,-69.7461,-22.0409,-87.011,0.595781,-1.9043,0,0,0,0,0,0,0,-515,0,0
101,0,0.234978,-0.362402,36.4676,-87.0513,-4.84423,-53.2428,0.13293,-2.38617,0,0,0,0,0,0,0,-515,0,0
102,0,0.439776,-0.483537,36.2488,-76.9985,-37.3369,-70.1264,1.03263,-2.12274,0,0,0,0,0,0,0,-515,0,0
103,0,0.251626,-0.386326,36.4853,-100.89,11.2623,-22.38,-0.302769,-2.7623,0,0,0,0,0,0,0,-515,0,0
104,0,0.133699,-0.516826,38.8724,-69.6385,-17.4644,40.7102,0.419417,-1.8191,0,0,0,0,0,0,0,-515,0,0
105,0,0.2568,-0.471322,36.344,-73.3369,-41.0254,-40.5128,1.13594,-2.04246,0,0,0,0,0,0,0,-515,0,0
106,0,0.127984,-0.455294,37.1027,-69.1239,-50.2374,-104.268,1.35113,-1.87207,0,0,0,0,0,0,0,-515,0,0
107,0,0.103284,-0.449708,37.4521,-115.47,-14.8603,-162.451,0.392486,-3.08902,0,0,0,0,0,0,0,-515,0,0
108,0,-0.105705,-0.360322,36.4341,-103.407,7.22235,-152.958,-0.200107,-2.83123,0,0,0,0,0,0,0,-515,0,0
109,0,-0.117366,-0.519244,36.1816,-86.2537,35.7505,-194.231,-0.987548,-2.38402,0,0,0,0,0,0,0,-515,0,0
110,0,0.00763952,-0.574231,36.78,-84.9114,-24.6353,-106.198,0.658555,-2.30873,0,0,0,0,0,0,0,-515,0,0
111,0,0.0978517,-0.758212,36.1503,-117.419,-24.3513,-57.7764,0.667272,-3.25652,0,0,0,0,0,0,0,-515,0,0
112,0,0.250228,-0.834749,36.8245,-131.712,-32.5741,-46.6014,0.879633,-3.57716,0,0,0,0,0,0,0,-515,0,0
113,0,0.292492,-0.777384,36.9901,-117.335,-13.2418,-95.2392,0.356455,-3.17123,0,0,0,0,0,0,0,-515,0,0
114,0,0.198716,-0.772153,36.9059,-111.416,0.106217,-75.096,-0.00288204,-3.01892,0,0,0,0,0,0,0,-515,0,0
115,0,0.0734897,-0.825603,37.322,-86.9346,4.84197,-75.7909,-0.129346,-2.33222,0,0,0,0,0,0,0,-515,0,0
116,0,0.107522,-0.738053,37.2738,-87.1471,-10.3991,-26.1847,0.279927,-2.33859,0,0,0,0,0,0,0,-515,0,0
117,0,0.235611,-0.577561,37.9781,-100.758,31.0778,-32.6683,-0.808469,-2.65139,0,0,0,0,0,0,0,-515,0,0
118,0,0.172948,-0.651994,36.928,-68.4734,-11.5082,-15.7357,0.334097,-1.8419,0,0,0,0,0,0,0,-515,0,0
119,0,0.147022,-0.64581,36.8406,-130.226,-22.5057,-136.327,0.612372,-3.526,0,0,0,0,0,0,0,-515,0,0
120,0,0.331923,-0.577569,37.9995,-82.6572,-78.1477,-138.142,2.041,-2.19617,0,0,0,0,0,0,0,-515,0,0
121,0,0.336114,-0.68483,35.3414,-68.0094,-56.4036,-112.873,1.5609,-1.94215,0,0,0,0,0,0,0,-515,0,0
122,0,0.486183,-0.705982,34.2648,-86.8958,-45.8909,-78.3986,1.33914,-2.53567,0,0,0,0,0,0,0,-515,0,0
123,0,0.386467,-0.538702,36.2629,-86.5068,-5.27886,-53.7792,0.171154,-2.39156,0,0,0,0,0,0,0,-515,0,0
124,0,0.381366,-0.550858,36.3101,-61.3178,-29.5698,26.2416,0.822628,-1.68434,0,0,0,0,0,0,0,-515,0,0
125,0,0.183037,-0.459095,37.1589,-98.4651,0.716779,-36.1151,-0.00493357,-2.63635,0,0,0,0,0,0,0,-515,0,0
126,0,0.0693426,-0.709713,37.5104,-87.814,-4.38294,-19.1753,0.117294,-2.3405,0,0,0,0,0,0,0,-515,0,0
