Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
60,0,-0.0503305,-0.587895,68.3246,-74.3746,-32.6645,-31.4914,0.476178,-1.08916,0,0,0,0,0,0,0,-515,0,0
61,0,-0.0683765,-0.478961,69.2062,-94.9303,-39.9236,-27.592,0.57479,-1.36924,0,0,0,0,0,0,0,-515,0,0
62,0,0.0711309,-0.445997,72.1463,-84.8266,-27.89,42.8166,0.390805,-1.18033,0,0,0,0,0,0,0,-515,0,0
63,0,0.184225,-0.50652,77.3693,-164.258,-22.0979,11.9361,0.284843,-2.09572,0,0,0,0,0,0,0,-515,0,0
64,0,0.354961,-0.614983,77.3272,-149.981,-14.7659,-51.8082,0.18957,-1.93106,0,0,0,0,0,0,0,-515,0,0
65,0,0.583328,-0.682231,76.0956,-148.59,-15.6844,-55.1555,0.206226,-1.95323,0,0,0,0,0,0,0,-515,0,0
66,0,0.488595,-0.573271,74.6482,-82.5548,-12.6391,-15.1398,0.168712,-1.0972,0,0,0,0,0,0,0,-515,0,0
67,0,0.50098,-0.629751,73.2942,-61.1205,-48.8425,33.8022,0.668904,-0.834985,0,0,0,0,0,0,0,-515,0,0
68,0,0.418247,-0.728554,71.4299,-56.2675,-49.4971,8.52098,0.690539,-0.786103,0,0,0,0,0,0,0,-515,0,0
69,0,0.604519,-0.791757,71.5009,-126.079,-61.93,-44.3744,0.864593,-1.75767,0,0,0,0,0,0,0,-515,0,0
70,0,0.71365,-0.585024,71.5597,-118.34,-24.4318,21.0579,0.339961,-1.65238,0,0,0,0,0,0,0,-515,0,0
71,0,0.543619,-0.494858,73.4298,-85.9491,3.5273,108.963,-0.0471318,-1.17297,0,0,0,0,0,0,0,-515,0,0
72,0,0.430069,-0.498622,75.5213,-92.933,6.5423,69.8565,-0.0865809,-1.22951,0,0,0,0,0,0,0,-515,0,0
73,0,0.424904,-0.309364,74.8119,-127.116,-7.0286,61.5255,0.0954384,-1.70238,0,0,0,0,0,0,0,-515,0,0
74,0,0.463605,-0.464874,71.7152,-100.1,-60.5699,89.7842,0.855851,-1.38725,0,0,0,0,0,0,0,-515,0,0
75,0,0.437644,-0.488598,71.5604,-101.446,-46.1656,17.2668,0.648879,-1.41569,0,0,0,0,0,0,0,-515,0,0
76,0,0.536621,-0.445906,70.4988,-111.449,-68.6581,-11.2292,0.980193,-1.58122,0,0,0,0,0,0,0,-515,0,0
77,0,0.834695,-0.462098,70.6088,-102.762,-47.7119,34.8452,0.679185,-1.45621,0,0,0,0,0,0,0,-515,0,0
78,0,0.916148,-0.297918,70.2399,-91.5494,-89.7187,-19.5714,1.28211,-1.30292,0,0,0,0,0,0,0,-515,0,0
79,0,0.844051,-0.418741,75.6913,-159.13,-93.8698,-35.1612,1.25704,-2.07216,0,0,0,0,0,0,0,-515,0,0
