Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
79,0,0.272537,-0.443595,35.4371,-99.1554,-18.8151,-89.187,0.535116,-2.79617,0,0,0,0,0,0,0,-515,0,0
80,0,0.23951,-0.736719,36.3473,-105.87,-5.72187,-98.2917,0.157069,-2.91301,0,0,0,0,0,0,0,-515,0,0
81,0,0.345419,-0.671491,35.9429,-86.4547,-28.1392,-116.452,0.787966,-2.40097,0,0,0,0,0,0,0,-515,0,0
82,0,0.255557,-0.685171,34.447,-75.6796,-50.9712,-87.3326,1.47776,-2.19625,0,0,0,0,0,0,0,-515,0,0
83,0,0.0885589,-0.680748,35.5366,-88.434,-70.155,24.4274,2.01195,-2.49518,0,0,0,0,0,0,0,-515,0,0
84,0,0.188669,-0.528482,37.9063,-85.7257,-24.9156,19.2531,0.664484,-2.26296,0,0,0,0,0,0,0,-515,0,0
85,0,0.373265,-0.533571,36.2455,-86.1952,-40.195,-45.468,1.1064,-2.37801,0,0,0,0,0,0,0,-515,0,0
86,0,0.238804,-0.504346,35.6441,-83.5179,-21.4734,-87.4225,0.602438,-2.34311,0,0,0,0,0,0,0,-515,0,0
87,0,0.240931,-0.478645,35.5291,-86.7042,-0.174554,-10.9853,-0.0011556,-2.44203,0,0,0,0,0,0,0,-515,0,0
88,0,0.370063,-0.523,35.6469,-107.18,43.7499,42.1219,-1.25567,-3.00471,0,0,0,0,0,0,0,-515,0,0
89,0,0.373626,-0.400109,37.7852,-88.7838,-41.2337,-8.10356,1.07907,-2.387,0,0,0,0,0,0,0,-515,0,0
90,0,0.151896,-0.508266,38.6203,-13.5262,-65.9806,15.9948,1.69193,-0.390424,0,0,0,0,0,0,0,-515,0,0
91,0,0.185857,-0.641608,35.7849,-66.216,-45.2374,8.34882,1.25645,-1.85326,0,0,0,0,0,0,0,-515,0,0
92,0,0.0920687,-0.793052,36.9845,-62.4265,-60.3475,26.2252,1.6269,-1.68923,0,0,0,0,0,0,0,-515,0,0
93,0,-0.0602862,-0.696012,36.0321,-70.4053,-27.5058,105.855,0.762993,-1.95473,0,0,0,0,0,0,0,-515,0,0
94,0,9.43989e-05,-0.78194,35.9916,-69.793,-33.1147,55.7636,0.905351,-1.94742,0,0,0,0,0,0,0,-515,0,0
95,0,0.332495,-0.757438,38.2125,-68.3585,-51.5747,-23.7309,1.34112,-1.79818,0,0,0,0,0,0,0,-515,0,0
96,0,0.406681,-0.608252,36.179,-84.9292,-13.8035,94.2744,0.373105,-2.34526,0,0,0,0,0,0,0,-515,0,0
97,0,0.417366,-0.609922,35.3612,-70.9225,19.4947,51.4676,-0.551348,-2.00566,0,0,0,0,0,0,0,-515,0,0
98,0,0.565378,-0.570249,35.621,-66.8261,-18.4528,53.4612,0.514582,-1.87732,0,0,0,0,0,0,0,-515,0,0
99,0,0.639908,-0.726974,36.4421,-68.5192,-25.3816,-33.3827,0.696404,-1.88028,0,0,0,0,0,0,0,-515,0,0
100,0,0.379795,-0.680775,35.9492,-78.7966,7.26088,-89.3365,-0.198159,-2.17878,0,0,0,0,0,0,0,-515,0,0
101,0,0.306897,-0.814571,34.6312,-45.4979,2.10265,-140.717,-0.0573387,-1.31122,0,0,0,0,0,0,0,-515,0,0
102,0,0.24213,-0.77593,35.4237,-61.8658,4.72419,-114.024,-0.132585,-1.74661,0,0,0,0,0,0,0,-515,0,0
103,0,0.325427,-0.693605,34.9199,-68.6187,-44.9273,-108.693,1.29263,-1.96317,0,0,0,0,0,0,0,-515,0,0
104,0,0.409615,-0.905505,33.7362,-87.3697,-42.1292,-112.59,1.26024,-2.57302,0,0,0,0,0,0,0,-515,0,0
105,0,0.364637,-1.02121,34.6157,-164.683,15.9805,-152.949,-0.461281,-4.76113,0,0,0,0,0,0,0,-515,0,0
106,0,0.232827,-0.953309,34.8733,-134.261,11.312,-189.068,-0.320327,-3.85049,0,0,0,0,0,0,0,-515,0,0
107,0,0.206421,-0.94584,34.9837,-121.403,-28.6651,-163.464,0.796483,-3.49991,0,0,0,0,0,0,0,-515,0,0
108,0,0.222856,-0.750145,36.8164,-62.9506,-61.072,-221.049,1.64698,-1.69548,0,0,0,0,0,0,0,-515,0,0
109,0,0.399842,-0.661338,35.0785,-35.9271,-25.4093,-183.192,0.724226,-1.03181,0,0,0,0,0,0,0,-515,0,0
110,0,0.367716,-0.589822,34.6183,-78.5847,-33.2777,-151.378,0.957916,-2.27285,0,0,0,0,0,0,0,-515,0,0
111,0,0.365672,-0.720136,35.224,-60.7677,-55.9416,-122.233,1.59121,-1.72291,0,0,0,0,0,0,0,-515,0,0
112,0,0.238427,-0.887728,35.5329,-91.8615,-40.2977,-72.9379,1.1384,-2.59176,0,0,0,0,0,0,0,-515,0,0
113,0,0.511136,-0.7835,34.8095,-118.122,-56.0149,-153.787,1.60718,-3.39096,0,0,0,0,0,0,0,-515,0,0
114,0,0.363275,-0.786379,35.0105,-80.6217,-14.3499,-198.168,0.418415,-2.29934,0,0,0,0,0,0,0,-515,0,0
115,0,0.42383,-0.752287,36.385,-102.83,6.1839,-117.235,-0.169536,-2.82721,0,0,0,0,0,0,0,-515,0,0
116,0,0.43716,-0.784043,36.3265,-106.311,-12.2081,-136.05,0.334581,-2.93258,0,0,0,0,0,0,0,-515,0,0
117,0,0.548985,-0.696607,36.2225,-39.3198,-30.9299,-107.375,0.851806,-1.10426,0,0,0,0,0,0,0,-515,0,0
118,0,0.382042,-0.77118,34.9167,-93.7108,-23.6559,-105.631,0.677459,-2.68412,0,0,0,0,0,0,0,-515,0,0
119,0,0.323909,-0.512337,34.701,-83.7931,-19.6786,-182.628,0.562149,-2.41298,0,0,0,0,0,0,0,-515,0,0
120,0,0.236799,-0.343118,33.3665,-75.9453,-7.80415,-171.871,0.235798,-2.27647,0,0,0,0,0,0,0,-515,0,0
121,0,0.370218,-0.444214,33.2437,-88.8638,-16.9819,-130.424,0.516827,-2.66375,0,0,0,0,0,0,0,-515,0,0
122,0,0.548133,-0.594582,34.1157,-123.57,1.42891,-149.349,-0.0407846,-3.62193,0,0,0,0,0,0,0,-515,0,0
123,0,0.392382,-0.569897,34.3736,-113.293,-11.6675,-109.229,0.325871,-3.3187,0,0,0,0,0,0,0,-515,0,0
124,0,0.524438,-0.599415,37.1024,-86.399,-35.679,-93.7746,0.962632,-2.32778,0,0,0,0,0,0,0,-515,0,0
125,0,0.497643,-0.673259,36.5913,-83.0963,-39.2541,-120.072,1.07015,-2.27375,0,0,0,0,0,0,0,-515,0,0
126,0,0.499117,-0.590775,36.0531,-98.6117,-20.34,-134.502,0.565912,-2.7326,0,0,0,0,0,0,0,-515,0,0
127,0,0.296781,-0.408051,36.0164,-71.4259,-25.867,-104.374,0.730774,-1.97724,0,0,0,0,0,0,0,-515,0,0
128,0,0.145013,-0.471113,36.4058,-91.5609,18.8993,-44.2453,-0.49897,-2.50323,0,0,0,0,0,0,0,-515,0,0
129,0,0.0649397,-0.333952,34.6232,-57.4397,-26.173,-78.8211,0.753193,-1.65916,0,0,0,0,0,0,0,-515,0,0
130,0,0.207389,-0.330753,34.2729,-50.0498,-3.07178,-63.7519,0.0892474,-1.46248,0,0,0,0,0,0,0,-515,0,0
131,0,0.309981,-0.326351,35.0994,-44.8627,-11.4059,-83.1525,0.32049,-1.25002,0,0,0,0,0,0,0,-515,0,0
132,0,0.260213,-0.393953,36.3837,-103.372,-23.6479,-157.492,0.651066,-2.82859,0,0,0,0,0,0,0,-515,0,0
133,0,0.344236,-0.415515,34.6292,-75.0994,-17.0594,-127.149,0.484182,-2.18231,0,0,0,0,0,0,0,-515,0,0
134,0,0.386263,-0.58735,33.9167,-105.323,2.96989,-205.958,-0.0986616,-3.12321,0,0,0,0,0,0,0,-515,0,0
135,0,0.544716,-0.714468,35.1111,-61.9831,-25.8157,-136.353,0.733965,-1.76722,0,0,0,0,0,0,0,-515,0,0
136,0,0.613959,-0.607415,34.3666,-71.7447,-23.3731,-62.0658,0.685401,-2.0854,0,0,0,0,0,0,0,-515,0,0
137,0,0.421586,-0.331703,34.2888,-68.3813,-38.6904,-71.3932,1.15016,-1.97928,0,0,0,0,0,0,0,-515,0,0
