Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
70,0,0.188095,0.0191502,36.1437,-73.4474,-15.9331,-251.186,0.427617,-2.04207,0,0,0,0,0,0,0,-515,0,0
71,0,0.497627,0.00839096,35.7827,-98.4042,9.87967,-237.671,-0.275135,-2.74892,0,0,0,0,0,0,0,-515,0,0
72,0,0.575233,-0.111485,35.3524,-94.3459,17.7806,-230.399,-0.503354,-2.66748,0,0,0,0,0,0,0,-515,0,0
73,0,0.467095,-0.125294,35.3174,-89.3707,-5.43384,-199.223,0.152931,-2.53057,0,0,0,0,0,0,0,-515,0,0
74,0,0.336664,-0.234603,34.8516,-78.6095,4.74444,-68.3007,-0.138785,-2.25424,0,0,0,0,0,0,0,-515,0,0
75,0,0.491663,-0.210729,38.7478,-103.995,28.9217,-10.2058,-0.731552,-2.66589,0,0,0,0,0,0,0,-515,0,0
76,0,0.471839,-0.320345,40.4277,-118.086,-42.4159,-40.856,1.04455,-2.92072,0,0,0,0,0,0,0,-515,0,0
77,0,0.553755,-0.399463,38.5736,-54.3205,-58,-123.444,1.50012,-1.38102,0,0,0,0,0,0,0,-515,0,0
78,0,0.222476,-0.245902,37.2324,-88.1759,-55.9781,-86.4091,1.50393,-2.37776,0,0,0,0,0,0,0,-515,0,0
79,0,0.390493,-0.16948,43.3246,-22.1152,-29.5918,-141.119,0.723365,-0.624601,0,0,0,0,0,0,0,-515,0,0
80,0,0.516393,-0.0383187,40.8574,15.0483,-74.4246,-148.084,1.87729,0.376856,0,0,0,0,0,0,0,-515,0,0
81,0,0.491329,-0.0566212,38.1041,-62.1926,-63.4762,-211.316,1.65843,-1.65423,0,0,0,0,0,0,0,-515,0,0
82,0,0.472075,-0.21561,40.2401,-83.356,-53.0205,-197.76,1.31966,-2.07796,0,0,0,0,0,0,0,-515,0,0
83,0,0.375893,-0.143215,39.296,-61.5158,-36.2467,-144.61,0.916515,-1.55884,0,0,0,0,0,0,0,-515,0,0
84,0,0.442053,-0.303696,37.5878,-101.419,-31.5462,-139.266,0.83977,-2.71104,0,0,0,0,0,0,0,-515,0,0
85,0,0.600007,-0.150499,38.4557,-98.4169,1.70416,-141.809,-0.0344127,-2.56579,0,0,0,0,0,0,0,-515,0,0
86,0,0.750422,-0.0252862,38.3089,-64.2939,-58.5985,-117.374,1.53933,-1.67475,0,0,0,0,0,0,0,-515,0,0
87,0,0.630689,-0.149599,39.0439,-19.7629,-49.7721,-129.118,1.28222,-0.513776,0,0,0,0,0,0,0,-515,0,0
88,0,0.537376,0.0972295,37.7719,-48.1463,-38.8169,-91.6711,1.02851,-1.29059,0,0,0,0,0,0,0,-515,0,0
89,0,0.510151,-0.240866,37.0731,-51.275,-7.1569,-162.055,0.191856,-1.38268,0,0,0,0,0,0,0,-515,0,0
90,0,0.565852,-0.0873757,36.0863,-102.157,12.8365,-147.039,-0.357992,-2.84487,0,0,0,0,0,0,0,-515,0,0
91,0,0.509739,-0.0671781,35.2526,-109.832,-20.9691,-180.741,0.600058,-3.11423,0,0,0,0,0,0,0,-515,0,0
92,0,0.564793,-0.23836,35.0065,-124.834,-21.6615,-262.926,0.61855,-3.5664,0,0,0,0,0,0,0,-515,0,0
93,0,0.685021,-0.224425,35.206,-116.929,-62.1603,-212.03,1.76285,-3.32223,0,0,0,0,0,0,0,-515,0,0
