currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
15176,785.95,765.71,755.96,762.33,767.49,-45.41,-784.67,664.06,1.6,-0.71,0.81,-42.14,3036,0,20.3888,7.756,-257.813,11111.9,-21538.4,-4121.12,-581.543,-43.1006,0,56
15212,786.36,765.32,755.95,762.06,767.42,-43.46,-787.6,654.79,-0.18,1.54,0.5,-36.72,3043,0,19.7997,7.81889,-260.243,11673.1,-21916.6,-3891.6,-582.216,-44.8548,0,56
15248,786.86,765.01,755.87,761.83,767.39,-45.9,-776.37,651.86,-1.35,0.11,-0.13,-34.82,3051,0,19.7487,6.47805,-259.952,12089.2,-22011,-3734.05,-582.673,-46.5056,0,56
15286,787.35,764.83,755.85,761.56,767.4,-41.02,-776.37,658.2,-1.45,-0.68,0.24,-31.37,3058,0,20.2154,5.62997,-257.895,12709.6,-21943.9,-3524.65,-583.089,-49.2825,0,56
15322,788.07,764.85,755.89,761.49,767.57,-46.39,-781.74,666.5,1.05,2.23,0.51,-31.97,3065,0,19.7899,4.57699,-256.604,13094.5,-21822.7,-3346.66,-583.044,-51.0299,0,56
15357,789.42,764.73,755.88,761.39,767.86,-54.69,-779.3,655.27,1.33,0.38,4.82,-34.56,3072,0,19.9706,4.54882,-258.388,13589.5,-21912.2,-3286.69,-582.804,-52.5932,0,56
15393,790.3,764.6,755.87,761.33,768.03,-49.32,-787.6,665.04,2.02,0.52,-1.04,-35.86,3080,0,21.363,4.42658,-268.179,14574.2,-22730.3,-3195.82,-582.758,-54.3449,0,56
15429,791.13,764.36,755.8,761.25,768.14,-49.8,-786.62,673.83,0.95,-1.63,0.31,-37.34,3087,0,22.4254,3.53348,-275.318,15496.2,-23324.8,-3045.48,-582.72,-56.2848,0,56
15464,791.73,764.2,755.89,761.12,768.24,-64.45,-780.76,658.2,1.61,-2.31,-0.29,-33.97,3094,0,22.2192,2.90312,-278.127,16053.3,-23570.9,-2820.96,-582.749,-57.7194,0,56
15503,792.29,763.84,755.82,761.02,768.24,-56.15,-788.57,657.23,1.08,-3.26,3.13,-33.21,3102,0,22.2991,3.31331,-280.721,16696.8,-23785.5,-2628.58,-582.73,-59.478,0,56
