currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
5647,0,0,0,0,0,143.55,-931.64,238.28,-31.77,100.5,152.01,1129,0,0,0,0,0,0,0,0,0,0
5679,0,0,0,0,0,184.08,-1113.77,344.24,-67.05,131.54,135.64,1136,0,0,0,0,0,0,0,0,0,0
5710,0,0,0,0,0,456.05,-1182.62,598.63,-98.91,153.17,72.36,1142,0,0,0,0,0,0,0,0,0,0
5740,0,0,0,0,0,772.46,-1477.54,816.89,-81.26,202.87,24.09,1148,0,0,0,0,0,0,0,0,0,0
5771,0,0,0,0,0,786.13,-1066.41,872.56,-45.28,250.13,-0.26,1154,0,0,0,0,0,0,0,0,0,0
5803,0,0,0,0,0,739.26,-1002.93,822.75,-70.43,250.13,-35.91,1161,0,0,0,0,0,0,0,0,0,0
5833,0,0,0,0,0,525.88,-2000,1272.46,-22.79,250.13,-100.56,1167,0,0,0,0,0,0,0,0,0,0
5864,0,0,0,0,0,574.22,-1145.51,1345.21,55.24,250.13,-99.47,1173,0,0,0,0,0,0,0,0,0,0
5895,0,0,0,0,0,54.2,-1210.94,1125,250.13,115.56,-88.17,1179,0,0,0,0,0,0,0,0,0,0
5926,0,0,0,0,0,-2000,-744.63,910.64,250.13,-60.34,-25.02,1185,0,0,0,0,0,0,0,0,0,0
5957,0,0,0,0,0,1821.78,-818.85,959.47,37.27,-44.71,-27.02,1191,0,0,0,0,0,0,0,0,0,0
5988,0,0,0,0,0,26.37,-507.32,1161.13,67.11,-92.45,-7.6,1198,0,0,0,0,0,0,0,0,0,0
6019,0,0,0,0,0,229,-679.2,409.18,18.42,72.62,73.63,1204,0,0,0,0,0,0,0,0,0,0
6050,0,0,0,0,0,109.86,-644.53,586.43,51.43,-34.83,-39.73,1210,0,0,0,0,0,0,0,0,0,0
6081,0,0,0,0,0,-101.56,-801.27,657.71,21.56,-16.98,0.62,1216,0,0,0,0,0,0,0,0,0,0
6112,0,0,0,0,0,-19.04,-826.66,589.84,5.28,8.28,0.52,1222,0,0,0,0,0,0,0,0,0,0
6143,0,0,0,0,0,19.53,-841.8,575.68,21.31,-0.21,-5.61,1229,0,0,0,0,0,0,0,0,0,0
6174,0,0,0,0,0,-6.84,-793.46,626.95,19.02,-0.08,-1.62,1235,0,0,0,0,0,0,0,0,0,0
6205,0,0,0,0,0,-21.48,-796.39,643.07,0.79,4.03,-2.82,1241,0,0,0,0,0,0,0,0,0,0
6236,0,0,0,0,0,-4.88,-820.31,628.91,-1.63,11.27,-3.27,1247,0,0,0,0,0,0,0,0,0,0
6267,0,0,0,0,0,-411.62,-873.05,602.05,8.44,9.53,-5.77,1253,0,0,0,0,0,0,0,0,0,0
6298,0,0,0,0,0,-55.18,-1187.5,831.05,43.11,-177.03,31.31,1260,0,0,0,0,0,0,0,0,0,0
6329,0,0,0,0,0,446.78,-2000,-817.87,-80.47,250.13,-18.89,1266,0,0,0,0,0,0,0,0,0,0
6360,0,0,0,0,0,-193.85,269.53,-2000,60.83,-250.14,-44.31,1272,0,0,0,0,0,0,0,0,0,0
6391,0,0,0,0,0,803.71,293.46,-1740.23,-147.25,-101.52,-41.34,1278,0,0,0,0,0,0,0,0,0,0
6422,0,0,0,0,0,734.37,-634.77,832.52,-43.64,20.15,-12.88,1284,0,0,0,0,0,0,0,0,0,0
6453,0,0,0,0,0,-450.68,-361.82,1011.23,-33.41,20.44,-21.35,1291,0,0,0,0,0,0,0,0,0,0
6484,0,0,0,0,0,13.18,-916.5,333.5,-3.73,38.9,-3.53,1297,0,0,0,0,0,0,0,0,0,0
6515,0,0,0,0,0,121.09,-778.81,672.85,4.03,-32.44,3.95,1303,0,0,0,0,0,0,0,0,0,0
6545,0,0,0,0,0,-48.34,-729.49,735.84,9.97,-1.56,-2.14,1309,0,0,0,0,0,0,0,0,0,0
6576,0,0,0,0,0,-4.88,-818.36,625,-0.9,9.99,-1.72,1315,0,0,0,0,0,0,0,0,0,0
6606,0,0,0,0,0,4.39,-795.41,659.18,-0.53,-5.63,-0.64,1321,0,0,0,0,0,0,0,0,0,0
6636,0,0,0,0,0,-15.63,-785.64,655.27,0.53,-0.53,0.47,1327,0,0,0,0,0,0,0,0,0,0
