currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
2617,0,0,0,0,0,-40.53,-874.02,523.44,-0.15,1.56,0.97,523,0,0,0,0,0,0,0,0,0,0
2648,0,0,0,0,0,-34.67,-878.42,522.46,0.23,2.19,-0.11,530,0,0,0,0,0,0,0,0,0,0
2679,0,0,0,0,0,-34.67,-879.39,524.9,-1.27,1.29,0.5,536,0,0,0,0,0,0,0,0,0,0
2710,0,0,0,0,0,-38.57,-881.35,533.69,-2.15,3.47,-0.04,542,0,0,0,0,0,0,0,0,0,0
2741,0,0,0,0,0,-36.62,-865.23,549.32,-0.59,-0.66,0.3,548,0,0,0,0,0,0,0,0,0,0
2772,0,0,0,0,0,-37.6,-874.51,529.79,1.83,-0.5,-2,554,0,0,0,0,0,0,0,0,0,0
2803,0,0,0,0,0,-37.6,-880.37,533.69,1.95,-0.6,-0.03,561,0,0,0,0,0,0,0,0,0,0
2834,0,0,0,0,0,-40.53,-882.32,522.95,-1.18,0.08,-1.63,567,0,0,0,0,0,0,0,0,0,0
2865,0,0,0,0,0,-35.16,-885.74,518.55,-0.23,2.37,-0.72,573,0,0,0,0,0,0,0,0,0,0
2896,0,0,0,0,0,-39.55,-867.19,532.71,-0.98,-0.77,-3.79,579,0,0,0,0,0,0,0,0,0,0
2927,0,0,0,0,0,-30.76,-875,534.67,3.13,1.63,-1.74,585,0,0,0,0,0,0,0,0,0,0
2958,0,0,0,0,0,-47.36,-873.54,542.97,-4.69,-0.72,1.39,592,0,0,0,0,0,0,0,0,0,0
2989,0,0,0,0,0,-48.83,-895.51,528.32,3.56,1.82,-0.03,598,0,0,0,0,0,0,0,0,0,0
3020,0,0,0,0,0,-27.83,-870.61,535.16,1.69,-0.18,-2.42,604,0,0,0,0,0,0,0,0,0,0
3051,0,0,0,0,0,-1.46,-886.72,528.81,2.75,5.21,-3.47,610,0,0,0,0,0,0,0,0,0,0
3082,0,0,0,0,0,-149.9,-921.87,750.49,8.63,7.53,-1.56,616,0,0,0,0,0,0,0,0,0,0
3113,0,0,0,0,0,-68.36,-879.88,424.8,-10.59,-2.13,-0.76,623,0,0,0,0,0,0,0,0,0,0
3144,0,0,0,0,0,-32.23,-851.07,575.68,-6.04,2.92,2.17,629,0,0,0,0,0,0,0,0,0,0
3175,0,0,0,0,0,-68.36,-928.22,492.68,2.05,1.53,0.07,635,0,0,0,0,0,0,0,0,0,0
3205,0,0,0,0,0,-44.92,-875,533.69,-8.86,-4.65,-3.05,641,0,0,0,0,0,0,0,0,0,0
3236,0,0,0,0,0,-15.14,-865.72,612.3,-2.69,1.56,-0.5,647,0,0,0,0,0,0,0,0,0,0
3266,0,0,0,0,0,-48.83,-843.26,517.58,-0.24,-2.56,0.85,653,0,0,0,0,0,0,0,0,0,0
3297,0,0,0,0,0,-41.02,-882.32,544.43,-0.52,0.15,-1.18,659,0,0,0,0,0,0,0,0,0,0
3327,0,0,0,0,0,-34.67,-880.37,524.9,0.31,-2.47,-1.56,665,0,0,0,0,0,0,0,0,0,0
3357,0,0,0,0,0,-57.13,-884.77,539.06,-1.1,0.01,-2.31,671,0,0,0,0,0,0,0,0,0,0
3388,0,0,0,0,0,-33.69,-892.09,515.62,-1.31,0.69,-4.34,678,0,0,0,0,0,0,0,0,0,0
3419,0,0,0,0,0,-64.45,-937.01,490.72,-2.33,1.6,-15.47,684,0,0,0,0,0,0,0,0,0,0
3450,0,0,0,0,0,65.92,-692.38,358.89,13.48,-19.79,-18.61,690,0,0,0,0,0,0,0,0,0,0
3480,0,0,0,0,0,37.11,-986.82,418.95,3.57,46.89,-31.29,696,0,0,0,0,0,0,0,0,0,0
3511,0,0,0,0,0,41.02,-907.71,419.43,9.37,64.45,-43.97,702,0,0,0,0,0,0,0,0,0,0
3542,0,0,0,0,0,-33.69,-873.05,521.97,3.76,78.27,-47.5,708,0,0,0,0,0,0,0,0,0,0
3572,0,0,0,0,0,-98.14,-791.5,655.76,6.18,69.1,-38.12,714,0,0,0,0,0,0,0,0,0,0
3603,0,0,0,0,0,-116.21,-753.91,722.66,0.61,41.39,-24.79,721,0,0,0,0,0,0,0,0,0,0
3634,0,0,0,0,0,-68.85,-757.32,664.55,-9.53,2.87,-2.13,727,0,0,0,0,0,0,0,0,0,0
3665,0,0,0,0,0,86.43,-981.45,507.32,-27.06,1.25,13.7,733,0,0,0,0,0,0,0,0,0,0
3696,0,0,0,0,0,-60.55,-923.34,527.34,8.43,3.66,11.37,739,0,0,0,0,0,0,0,0,0,0
3727,0,0,0,0,0,-96.68,-909.67,501.46,5.89,4.84,6.82,745,0,0,0,0,0,0,0,0,0,0
3758,0,0,0,0,0,-42.97,-887.7,507.81,5.38,-2.22,-0.25,752,0,0,0,0,0,0,0,0,0,0
3789,0,0,0,0,0,-12.7,-850.59,548.83,1.72,-0.7,1.67,758,0,0,0,0,0,0,0,0,0,0
3822,0,0,0,0,0,-55.18,-907.71,508.3,7.4,1.18,1.65,764,0,0,0,0,0,0,0,0,0,0
3853,0,0,0,0,0,1.46,-861.82,558.11,8.33,-0.24,1.7,771,0,0,0,0,0,0,0,0,0,0
3884,0,0,0,0,0,-32.71,-867.68,541.02,4.5,-1.41,6.01,777,0,0,0,0,0,0,0,0,0,0
3915,0,0,0,0,0,-29.3,-896,541.5,2.59,-0.61,1.5,783,0,0,0,0,0,0,0,0,0,0
3946,0,0,0,0,0,-41.02,-913.57,538.09,-4.05,-6.57,8.5,789,0,0,0,0,0,0,0,0,0,0
3977,0,0,0,0,0,-31.25,-878.91,559.57,-11.6,10.06,15.89,795,0,0,0,0,0,0,0,0,0,0
4008,0,0,0,0,0,-80.08,-888.18,505.86,-8.18,5.92,16.11,802,0,0,0,0,0,0,0,0,0,0
4039,0,0,0,0,0,-142.09,-851.56,489.75,-1.64,-0.43,-3.13,808,0,0,0,0,0,0,0,0,0,0
4070,0,0,0,0,0,-19.53,-871.09,565.92,4.31,3.29,-3.48,814,0,0,0,0,0,0,0,0,0,0
4101,0,0,0,0,0,-137.7,-888.18,476.56,8.74,1.71,-9.82,820,0,0,0,0,0,0,0,0,0,0
4132,0,0,0,0,0,-65.43,-861.82,558.11,14.23,-3.66,-18.82,826,0,0,0,0,0,0,0,0,0,0
4163,0,0,0,0,0,96.19,-956.54,461.43,19.72,-2.07,-10.97,833,0,0,0,0,0,0,0,0,0,0
4194,0,0,0,0,0,-60.06,-884.77,555.66,16.08,-7.35,-4.69,839,0,0,0,0,0,0,0,0,0,0
4225,0,0,0,0,0,-60.55,-854.98,552.25,16.95,-6.31,-2.7,845,0,0,0,0,0,0,0,0,0,0
4256,0,0,0,0,0,-34.18,-854.98,561.52,12.62,-5.68,1.21,851,0,0,0,0,0,0,0,0,0,0
4287,0,0,0,0,0,-17.58,-857.91,585.45,9.5,-5.59,0.95,857,0,0,0,0,0,0,0,0,0,0
4318,0,0,0,0,0,-44.92,-846.19,570.31,7.6,-0.68,0.15,864,0,0,0,0,0,0,0,0,0,0
4349,0,0,0,0,0,-23.93,-830.57,586.91,2.06,3.15,-0.19,870,0,0,0,0,0,0,0,0,0,0
4380,0,0,0,0,0,-19.04,-838.87,573.24,-1.66,2.73,0.54,876,0,0,0,0,0,0,0,0,0,0
4411,0,0,0,0,0,-31.25,-845.21,571.29,-4.47,4.21,-0.3,882,0,0,0,0,0,0,0,0,0,0
